dimension,segment,is_other,segments_pooled,users_s0,step,users_strict,users_raw,share_of_s0_numerator,share_of_s0_denominator,share_of_s0_pct_value,share_of_s0_pct_display,share_of_s0_lo_display,share_of_s0_hi_display,share_of_s0_status,step_conversion_numerator,step_conversion_denominator,step_conversion_pct_value,step_conversion_pct_display,step_conversion_lo_display,step_conversion_hi_display,step_conversion_status,caveat,attribution_means,note
geo.country,Other,true,142,2919,S1,1806,1806,1806,2919,61.8705035971,61.87,60.09,63.62,reported,1806,2919,61.8705035971,61.87,60.09,63.62,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Other,true,142,2919,S2,1263,1266,1263,2919,43.2682425488,43.27,41.48,45.07,reported,1263,1806,69.9335548173,69.93,67.78,72.00,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
geo.country,Other,true,142,2919,S3,805,805,805,2919,27.5779376499,27.58,25.99,29.23,reported,805,1263,63.7371338084,63.74,61.05,66.34,reported,,country at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,IOS,false,,7765,S0,7765,7765,7765,7765,100.0000000000,100.00,99.95,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,IOS,false,,7765,S1,6113,6113,6113,7765,78.7250482936,78.73,77.80,79.62,reported,6113,7765,78.7250482936,78.73,77.80,79.62,reported,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,IOS,false,,7765,S2,5120,5129,5120,7765,65.9368963297,65.94,64.88,66.98,reported,5120,6113,83.7559299853,83.76,82.81,84.66,reported,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,IOS,false,,7765,S3,3511,3513,3511,7765,45.2157115261,45.22,44.11,46.32,reported,3511,5120,68.5742187500,68.57,67.29,69.83,reported,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,ANDROID,false,,7410,S0,7410,7410,7410,7410,100.0000000000,100.00,99.95,100.00,reported,,,,NULL,NULL,NULL,not_applicable,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,ANDROID,false,,7410,S1,4053,4053,4053,7410,54.6963562753,54.70,53.56,55.83,reported,4053,7410,54.6963562753,54.70,53.56,55.83,reported,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,ANDROID,false,,7410,S2,3025,3039,3025,7410,40.8232118758,40.82,39.71,41.95,reported,3025,4053,74.6360720454,74.64,73.27,75.95,reported,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
platform,ANDROID,false,,7410,S3,2161,2163,2161,7410,29.1632928475,29.16,28.14,30.21,reported,2161,3025,71.4380165289,71.44,69.80,73.02,reported,,platform at first observed event,"attributed from the user's earliest event row (§10.7.5); the >= 200-user floor is applied once, on S0 (A-174)"
